Column1;Column2;Column3;Column4
OEO_00000055;air pollution;Pollution is an emission with a negative effect on the environment or organisms.;
OEO_00000056;ambient thermal energy;Thermal energy is the energy that a material entity contains in the undirected motion of its constituent parts (e.g. molecules and atoms).;
OEO_00000058;anthracite;Hard coal is coal with a gross calorific value greater than 23 865 kJ/kg (5 700 kcal/kg) on an ashfree but moist basis and with a mean random reflectance of vitrinite of at least 0,6.;
OEO_00000059;application programming interface;A software interface is a software that enables an agent to interact with it.;
OEO_00000061;artificial object;"A vehicle is an artificial object that is used for transporting people or goods.
        








Back to the super classes:




        object
      


          view
        




Editor note:
        BFO 2 Reference: BFO rests on the presupposition that at multiple micro-, meso- and macroscopic scales reality exhibits certain stable, spatially separated or separable material units, combined or combinable into aggregates of various sorts (for example organisms into what are called ‘populations’). Such units play a central role in almost all domains of natural science from particle physics to cosmology. Many scientific laws govern the units in question, employing general terms (such as ‘molecule’ or ‘planet’) referring to the types and subtypes of units, and also to the types and subtypes of the processes through which such units develop and interact. The division of reality into such natural units is at the heart of biological science, as also is the fact that these units may form higher-level units (as cells form multicellular organisms) and that they may also form aggregates of units, for example as cells form portions of tissue and organs form families, herds, breeds, species, and so on. At the same time, the division of certain portions of reality into engineered units (manufactured artifacts) is the basis of modern industrial technology, which rests on the distributed mass production of engineered parts through division of labor and on their assembly into larger, compound units such as cars and laptops. The division of portions of reality into units is one starting point for the phenomenon of counting.
        
Editor note:
        BFO 2 Reference: Each object is such that there are entities of which we can assert unproblematically that they lie in its interior, and other entities of which we can assert unproblematically that they lie in its exterior. This may not be so for entities lying at or near the boundary between the interior and exterior. This means that two objects – for example the two cells depicted in Figure 3 – may be such that there are material entities crossing their boundaries which belong determinately to neither cell. Something similar obtains in certain cases of conjoined twins (see below).
        
Editor note:
        BFO 2 Reference: To say that b is causally unified means: b is a material entity which is such that its material parts are tied together in such a way that, in environments typical for entities of the type in question,if c, a continuant part of b that is in the interior of b at t, is larger than a certain threshold size (which will be determined differently from case to case, depending on factors such as porosity of external cover) and is moved in space to be at t at a location on the exterior of the spatial region that had been occupied by b at t, then either b’s other parts will be moved in coordinated fashion or b will be damaged (be affected, for example, by breakage or tearing) in the interval between t and t.causal changes in one part of b can have consequences for other parts of b without the mediation of any entity that lies on the exterior of b. Material entities with no proper material parts would satisfy these conditions trivially. Candidate examples of types of causal unity for material entities of more complex sorts are as follows (this is not intended to be an exhaustive list):CU1: Causal unity via physical coveringHere the parts in the interior of the unified entity are combined together causally through a common membrane or other physical covering\. The latter points outwards toward and may serve a protective function in relation to what lies on the exterior of the entity [13, 47
        
Editor note:
        BFO 2 Reference: an object is a maximal causally unified material entity
        
Editor note:
        BFO 2 Reference: ‘objects’ are sometimes referred to as ‘grains’ [74";
OEO_00000062;associated gas;Natural gas is a gas mixture occurring in underground deposits, whether liquefied or gaseous, and consisting mainly of methane.;
OEO_00000063;assumption;"A generically dependent continuant that is about some thing.
        
Editor note:
        2014-03-10: The use of ""thing"" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).
        
Editor note:
        information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).

Previous. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.";
OEO_00000064;author;Agent is a role of a person or organisation that directs its activity towards achieving goals.;
OEO_00000066;aviation gasoline;"https://en.wikipedia.org/w/index.php?title=Gasoline&oldid=867948640
        
Editor note:
        The term gasoline was chosen as this term is more often used in energy modelling and energy statistics. This is a deliberate deviation from the convention of British English spelling in the OEO.";
OEO_00000068;battery;An energy storage object is an artificial object that has the function energy storage.;
OEO_00000071;biodiesel;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000072;biofuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00000073;biofuel power plant;A power plant is an energy transformation unit consisting of power generating units and a grid component that feeds electric energy into an electric grid.;
OEO_00000074;biogas;A gas mixture is a portion of matter that is a composition of different kinds of portions of matter and that has a gaseous normal state of matter.;
OEO_00000075;biogasoline;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000077;blast furnace gas;A manufactured coal based gas is a gas mixture that is manufactured from coal. It is used as fossil fuel.;
OEO_00000078;boolean variable;A variable is an information content entity that represents a changeable value, vector, matrix or function within a mathematical expression.;
OEO_00000084;charcoal;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000085;citation reference;A reference is an information content entity naming a relevant document, position in a document or address.;
OEO_00000087;client;Agent is a role of a person or organisation that directs its activity towards achieving goals.;
OEO_00000088;coal;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000089;coal power plant;A power plant is an energy transformation unit consisting of power generating units and a grid component that feeds electric energy into an electric grid.;
OEO_00000090;code documentation;"A code documentation is a documentation explaining and annotating software code.






Back to the super classes:




        software documentation
      


          view
        




        

        

        
        No description found.";
OEO_00000091;code source;A data descriptor is an information content entity that contains additional information about some data.;
OEO_00000093;coke oven gas;A manufactured coal based gas is a gas mixture that is manufactured from coal. It is used as fossil fuel.;
OEO_00000094;coking coal;Hard coal is coal with a gross calorific value greater than 23 865 kJ/kg (5 700 kcal/kg) on an ashfree but moist basis and with a mean random reflectance of vitrinite of at least 0,6.;
OEO_00000096;colliery gas;Natural gas is a gas mixture occurring in underground deposits, whether liquefied or gaseous, and consisting mainly of methane.;
OEO_00000097;combustible energy carrier disposition;An energy carrier disposition is a disposition of an material entity that contains energy for conversion as usable energy.;
OEO_00000099;combustion fuel;A fuel is a portion of matter that has the disposition to be an energy carrier and that has a fuel role.;
OEO_00000102;compressed air;Air is a gas mixture that forms the Earth's atmosphere.;
OEO_00000104;constraint;"A generically dependent continuant that is about some thing.
        
Editor note:
        2014-03-10: The use of ""thing"" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).
        
Editor note:
        information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).

Previous. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.";
OEO_00000105;consumer;A user is an agent that employs an aid, tool or information system to achieve a goal/benefit.;
OEO_00000107;contact person;Agent is a role of a person or organisation that directs its activity towards achieving goals.;
OEO_00000115;crude oil;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000117;dam;An artificial object is an object that was deliberately manufactured by humans to address a particular purpose.;
OEO_00000118;database;"A generically dependent continuant that is about some thing.
        
Editor note:
        2014-03-10: The use of ""thing"" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).
        
Editor note:
        information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).

Previous. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.";
OEO_00000119;data descriptor;"A generically dependent continuant that is about some thing.
        
Editor note:
        2014-03-10: The use of ""thing"" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).
        
Editor note:
        information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).

Previous. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.";
OEO_00000120;data format;A data descriptor is an information content entity that contains additional information about some data.;
OEO_00000122;data postprocessing;"Data postprocessing is data processing that transforms the output of a model calculation into a form that is suitable for presentation.






Back to the super classes:




        data processing
      


          view
        




        

        

        
        No description found.";
OEO_00000123;data preprocessing;"Data preprocessing is data processing that transforms the input into a form that is useable for a model calculation.






Back to the super classes:




        data processing
      


          view
        




        

        

        
        No description found.";
OEO_00000124;data processing;A transformation is a process that transforms one or more inputs into at least one output.;
OEO_00000125;data processing software;"Software is a plan specification composed of a series of instructions that can be 
interpreted by or directly executed by a processing unit.
        
Editor note:
        see sourceforge tracker discussion at http://sourceforge.net/tracker/index.php?func=detail&aid=1958818&group_id=177891&atid=886178";
OEO_00000126;HVDC-line;A power line is a grid component link that is an uninterrupted transmission system between two nodes in an electricity grid.;
OEO_00000128;energy demand sector;A sector is generically dependent continuant that is a subdivision of a system.;
OEO_00000129;grid transferred thermal energy;Thermal energy is the energy that a material entity contains in the undirected motion of its constituent parts (e.g. molecules and atoms).;
OEO_00000131;fossil diesel fuel;Gas/diesel oil is a portion of matter that is primarily a medium distillate distilling between 180 °C and 380 °C. Includes blending components. Several grades are available depending on uses.;
OEO_00000132;district heating;Grid-bound heating is a heat transfer over a distance via a heating grid, using steam or (hot) water.;
OEO_00000133;DOI;"An information content entity that is a mark(s) or character(s) used as a conventional representation of another entity.
        
Editor note:
        20091104, MC: this needs work and will most probably change
        
Editor note:
        2014-03-31: We would like to have a deeper analysis of 'mark' and 'sign' in the future (see https://github.com/information-artifact-ontology/IAO/issues/154).";
OEO_00000139;electrical energy;Energy is a quality of material entities which manifests as a capacity to perform work (such as causing motion or the interaction of molecules);
OEO_00000143;electricity grid;A supply grid is a supply system of systematically connected artificial objects that can work as a supply system.;
OEO_00000144;electricity grid component;A grid component is an energy transformation unit that is a discrete part of a supply grid serving a specific purpose. A grid component is defined by having a grid component role.;
OEO_00000145;electricity sector;An energy transformation sector is a sector that covers energy production, energy transformation from primary to secondary energy and transport of energy to the demand sector.;
OEO_00000146;electric vehicle;A vehicle is an artificial object that is used for transporting people or goods.;
OEO_00000147;emission;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00000148;emission factor;A process attribute is a dependent occurrent that existentially depends on a process.;
OEO_00000149;empirical data set;"A data item that is an aggregate of other data items of the same type that have something in common. Averages and distributions can be determined for data sets.
        
Editor note:
        2009/10/23 Alan Ruttenberg. The intention is that this term represent collections of like data. So this isn't for, e.g. the whole contents of a cel file, which includes parameters, metadata etc. This is more like java arrays of a certain rather specific type
        
Editor note:
        2014-05-05: Data sets are aggregates and thus must include two or more data items. We have chosen not to add logical axioms to make this restriction.";
OEO_00000150;energy;"Thermal energy is the energy that a material entity contains in the undirected motion of its constituent parts (e.g. molecules and atoms).
        








Back to the super classes:




        quality
      


          view
        




        

        

        
        No description found.";
OEO_00000151;energy carrier disposition;"Secondary energy carrier disposition is an energy carrier disposition of material entities that are manufactured from primary energy carriers or from a different form of secondary energy carriers.
        








Back to the super classes:




        disposition
      


          view
        




Editor note:
        BFO 2 Reference: Dispositions exist along a strength continuum. Weaker forms of disposition are realized in only a fraction of triggering cases. These forms occur in a significant number of cases of a similar type.";
OEO_00000158;energy transformation sector;A sector is generically dependent continuant that is a subdivision of a system.;
OEO_00000159;energy storage object;An artificial object is an object that was deliberately manufactured by humans to address a particular purpose.;
OEO_00000161;external optimiser;"Software is a plan specification composed of a series of instructions that can be 
interpreted by or directly executed by a processing unit.
        
Editor note:
        see sourceforge tracker discussion at http://sourceforge.net/tracker/index.php?func=detail&aid=1958818&group_id=177891&atid=886178";
OEO_00000162;factsheet;A collection of information content entities intended to be understood together as a whole;
OEO_00000165;field photovoltaic power plant;A photovoltaic power plant is a solar power plant that has PV panels as parts.;
OEO_00000169;flow battery;A battery is an energy storage object using different chemical or physical reactions to store energy.;
OEO_00000172;framework factsheet;A factsheet is a document that collects information about a specific topic in a structured way.;
OEO_00000173;fuel;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000174;fueled power plant;A power plant is an energy transformation unit consisting of power generating units and a grid component that feeds electric energy into an electric grid.;
OEO_00000175;fueled power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000181;gas diesel oil;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000183;gasoline;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000184;gas power plant;A power plant is an energy transformation unit consisting of power generating units and a grid component that feeds electric energy into an electric grid.;
OEO_00000185;gas turbine;A turbine is an energy converting component that converts energy from a moving fluid flow into rotational energy.;
OEO_00000186;gasworks gas;A manufactured coal based gas is a gas mixture that is manufactured from coal. It is used as fossil fuel.;
OEO_00000188;generator;An energy converting component is an artificial object that is usually a discrete part of an energy transformation unit with the function of transforming, transferring or changing a certain type of energy.;
OEO_00000189;geographic coordinate;"A generically dependent continuant that is about some thing.
        
Editor note:
        2014-03-10: The use of ""thing"" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).
        
Editor note:
        information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).

Previous. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.";
OEO_00000191;geothermal energy;Thermal energy is the energy that a material entity contains in the undirected motion of its constituent parts (e.g. molecules and atoms).;
OEO_00000192;geothermal power plant;A power plant is an energy transformation unit consisting of power generating units and a grid component that feeds electric energy into an electric grid.;
OEO_00000198;greenhouse effect disposition;"The greenhouse effect disposition is the disposition of a gas to contribute to the greenhouse effect, when it is emitted into the atmosphere.






Back to the super classes:




        disposition
      


          view
        




Editor note:
        BFO 2 Reference: Dispositions exist along a strength continuum. Weaker forms of disposition are realized in only a fraction of triggering cases. These forms occur in a significant number of cases of a similar type.";
OEO_00000199;greenhouse gas emission;A greenhouse gas emission is an emission that releases a greenhouse gas.;
OEO_00000200;supply grid;A supply system is a system that connects producers and consumers.;
OEO_00000202;graphical user interface;A software interface is a software that enables an agent to interact with it.;
OEO_00000204;hard coal;Coal is a portion of matter consisting of combustible black or brownish-black sedimentary rock, formed as rock strata called coal seams.;
OEO_00000205;hard coal power plant;A coal power plant is a power plant that has coal power units as parts.;
OEO_00000206;hardware;An artificial object is an object that was deliberately manufactured by humans to address a particular purpose.;
OEO_00000207;thermal energy;Energy is a quality of material entities which manifests as a capacity to perform work (such as causing motion or the interaction of molecules);
OEO_00000210;heater;An energy converting component is an artificial object that is usually a discrete part of an energy transformation unit with the function of transforming, transferring or changing a certain type of energy.;
OEO_00000211;heating oil;Gas/diesel oil is a portion of matter that is primarily a medium distillate distilling between 180 °C and 380 °C. Includes blending components. Several grades are available depending on uses.;
OEO_00000212;heat pump;A heater is an energy converting component that converts other forms of energy into useful heat.;
OEO_00000213;heating and cooling sector;An energy demand sector is a sector that covers energy consumers.;
OEO_00000214;household sector;An energy demand sector is a sector that covers energy consumers.;
OEO_00000218;hydro energy;Kinetic energy is the energy that a material entity possesses due to its motion. It is defined as the work needed to accelerate a body of a given mass from rest to a stated velocity.;
